document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_deepseek-r1:1.5b
A Generative Artificial Intelligence Based Tutor for Personalized Learning,"Personalized learning refers to a system of teaching and learning where the content, methods, and assessment are tailored to each learner's needs, capacities/skills/competencies, and pace. There is abundant literature about personalized learning, describing its advantages, challenges, and approaches to implementing it. This study has explored the abundant literature and realized that while there are substantial proposed ways to achieve personalized learning, these proposals are not implemented into actionable products. This research aims to construct a Generative Artificial Intelligence (Gen AI) tutor that implements personalized learning and teaching in a higher education level course. The research methodology involved exploring literature to determine the requirements for personalized learning and designing a tutor system. The resultant system uses Custom GPT technology, Application Programming Interface (API), a repository for storing content, learners' profile information, and performance metrics. Out of the six components that make the proposed system, only the “Custom GPT” component has been implemented and tested on a course named “Applied Cryptography” in a postgraduate program. Though the preliminary results are promising, an effective assessment of the system will be made when the full implementation is completed. Further, issues related to ethics, scaling and integration with learning management systems should also be considered. Subsequent work to this study will focus on those issues.","Department of Applied Sciences, Adventist University of Africa (AUA), Nairobi, Kenya",L. Bonde,10.1109/SmartBlock4Africa61928.2024.10779525,979-8-3503-7683-8,,2024 IEEE SmartBlock4Africa,2024,False
"Artificial Intelligence in Business Operations in one of the country in South East Asia: Exploring Applications, Challenges, Limitations, and Future Research Directions","The advent, growth, advancement and development of artificial intelligence (AI) has transformed businesses and organizations around the globe, as it contributes to innovation and operational efficiency. It utilizes big data analytics as well as machine learning, which drives strategic decision-making. However, even with the amplified discussion as well as the availability of Artificial Intelligence techniques and tools, there is still a lack of knowledge on how it affects business operations.The study explores the future of Artificial Intelligence in Business Operations in the Philippines. More specifically, the study explored how Artificial Intelligence can be applied in operations management, supply chain management, sales and marketing, training and development, accounting and finance, customer service, strategic planning and quality controlIn order to address this objective, the proponents conducted a critical analysis of 153 Scopus indexed publications in the body of literature to examine Artificial Intelligence in the context of business operations.Artificial Intelligence has a surmountable potential in business organizations and employee adjustments in lieu to this technology necessitates to adopt in these changes. Due to the preceding concerns about the integration of Artificial Intelligence within business operations, the study provided exploratory discussion around its use, challenges, limitations and suggested areas requiring future studies.","Bachelor of Science in Entrepreneurship, City College of El Salvador, Cagayan de Oro City, Philippines; Bachelor of Science in Business Administration, Bukidnon State University, Malitbog, Bukidnon, Philippines; Bachelor of Science in Business Administration, Bukidnon State University, Bukidnon, Philippines; Department of Math and Science, University of Science and Technology of Southern Philippines - Claveria, Claveria, Philippines; Business Administration Department, Pangasinan State University, Lingayen, Pangasinan, Philippines",J. V. M. Jala; E. A. Nacalaban; N. R. A. Sandinao; J. T. Gaid; R. J. M. Ventayen,10.1109/ICDICI62993.2024.10810883,979-8-3503-8960-9,,2024 5th International Conference on Data Intelligence and Cognitive Informatics (ICDICI),2024,False
Leveraging Artificial Intelligence and Large Language Models for Enhanced Teaching and Learning: A Systematic Literature Review,"Artificial Intelligence (AI) and Large Language Models (LLMs) significantly have changed educational paradigms, enabling a significant reinvention in how teaching and learning happens today. Through this systematic literature review, the paper aims to offer a deep understanding of how AI and LLMs are implemented in educational settings today, providing examples of where these tools were used for personalization (both targeting students’ academic performance and choosing content that aligns best with learner’s aspirations), accessibility enhancements as well as their potential applications related to resource management automation. The central themes probed include the application of AI to help deploy appropriate learning strategies according to individual learner profiles. LLMs for improved responsive and interactive education tools, and the potential for autonomous assessment machines with associated feedback mechanisms.The opportunities for the aid of AI and LLMs to improve teaching and learning are vast, but this review will also question some associated challenges such as ethical issues[1], data privacy concerns and risks of algorithmic bias[2]. It is concluded by suggesting future research and application directions for the ethical development of inclusive technologies, which are secure from a privacy point of view too. This is followed by a reflection on the strategic implications of such technologies for those in charge of education policy and development hoping ideas related to how AI-LLMs rejoice more efficacious learning experiences could be born out.","ClayDxa Lmited, University of Huddersfield, Huddersfield, United Kingdom; ClayDxa Lmited, University of Huddersfield, Huddersfield, United Kingdom; ClayDxa Lmited, University of Huddersfield, Huddersfield, United Kingdom",Q. Xu; J. Gu; J. Lu,10.1109/TechDev64369.2024.00021,979-8-3315-3977-1,,2024 13th International Conference on Computer Technologies and Development (TechDev),2024,False
Navigating The Interplay Between Artificial Intelligence And Managerial Skills,"The use of artificial intelligence (AI) into managerial skills development tools signifies a substantial progression in organisational leadership training methodologies. AI-driven platforms can assess extensive data to pinpoint critical skill deficiencies and customise individualised learning experiences for managers across all tiers. This not only expedites the development process but also improves the retention and application of essential managerial competencies. Organisations can utilise AI to develop more efficient training programs that adjust in real-time to the changing requirements of its leaders, thereby promoting a culture of ongoing enhancement and innovation. Moreover, as AI technology progresses, its contribution to the development of managerial abilities is expected to increase, providing more advanced solutions for talent management and leadership improvement. Artificial intelligence can create simulated environments for managers to practise and enhance their abilities, offer immediate feedback, and monitor progress over time. As organisations adopt these technologies, they will be more adept at manoeuvring through the intricacies of the contemporary business environment. Investing in AI-driven management training boosts individual competencies and fortifies organisational resilience and adaptation, hence ensuring sustained success in a progressively competitive landscape. This article explores the relationship between artificial intelligence (AI) and managerial functions, focusing on the future of management in contexts where AI is integrated. It addresses a gap in the existing research. Because, the existing research does not provide sufficient information regarding the impact of AI implementation on managerial abilities within organisations.","Faculty of Enginnering and The Built Enviroment, University of Johannesburg, South Africa",N. Y. Mulongo,10.1109/ISNCC62547.2024.10759025,979-8-3503-6491-0,2768-0940,"2024 International Symposium on Networks, Computers and Communications (ISNCC)",2024,False
3D Film and Television Animation Production Cloud Management System Based on Artificial Intelligence,"3D film and television animation production is a complex and time-consuming task. Traditional production methods have low efficiency and quality control problems. In order to solve these problems, an artificial intelligence-based 3D film and television animation production cloud management system came into being. This study adopted a comprehensive research methodology, including literature review, user research, and field testing. First of all, this study conducts an in-depth study of relevant literature, and understands the current situation and problems of 3D film and television animation production. Secondly, this study conducted a field test on the artificial intelligence-based 3D film and television animation production cloud management system, and collected user feedback and opinions. The research results show that the artificial intelligence-based cloud management system for 3D film and television animation production has a positive impact on user experience. The system improves production efficiency and production quality through intelligent auxiliary tools and automatic functions. User feedback shows that the real-time preview and feedback function of the system enables users to adjust the work in time and obtain more detailed and realistic effects. In addition, the system's interface design and personalized customization options are also appreciated by users, which improves the user's work comfort and satisfaction.","Jnvc Department of Computer Science, Jinan Vocational College, Jinan, China; Jnvc Department of Computer Science, Jinan Vocational College, Jinan, China",W. Shen; C. Chen,10.1109/CSNT60213.2024.10545896,979-8-3503-0546-3,2473-5655,2024 IEEE 13th International Conference on Communication Systems and Network Technologies (CSNT),2024,False
Big Data and Artificial Intelligence: Revolutionizing Business Decision-Making,"The term artificial intelligence (AI) refers to the fourth industrial revolution. Globally, artificial intelligence and big data have revolutionized all sectors. Artificial intelligence has grown into a revolutionary technology with profound implications on many industries, included business, thanks to the usage of big data. Artificial intelligence (AI) and big data has transformed decision-making procedures in the past few years by giving businesses access to sophisticated analytical tools that let them glean insightful information from massive volumes of data. Artificial intelligence segments machine learning and deep learning have been extensively utilized to tackle and enhance a wide range of business issues, including marketing, credit card fraud detection, algorithmic trading, customer support, demonstrating products according to consumer preferences, and insurance underwriting. Using AI and big data into marketing techniques may help a business owner boost audience response and create a powerful online brand that can compete with competitors. Examining how big data and decision-making are used in artificial intelligence applications in business settings is the main objective of the research. In specifically, this research looks at how artificial intelligence is being used to improve decision-making processes and how that's affecting corporate structures. According to the report, artificial intelligence plays a revolutionary role in business decision-making, providing a host of benefits related to effectiveness, precision, and creativity.","Department of MBA, Oriental College of Management Bhopal, Barkatullah University, Bhopal, Madhya Pradesh; Information Technology, Citibank, NA, Jersey city, NJ, USA; Institute of Aeronautical Engineering, Hyderabad; Lovely Professional University, Phagwara; The Islamic university, Najaf; Department of Applied Sciences, New Horizon College of Engineering, Bangalore",S. Johri; K. V. Rawal; B. Aishwarya; N. Singh; A. M. Shaaker; R. V,10.1109/UPCON59197.2023.10434500,979-8-3503-8247-1,2687-7767,"2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)",2023,False
A Review of Strategies for the Application of Artificial Intelligence Technologies in the Operation of Grid Enterprises,"With the rapid development of Artificial Intelligence (AI) technology, the power grid industry is gradually increasing its investment in a new generation of information technology in the digital and intelligent transformation, and is committed to creating a full-process digital intelligence system to improve the operational efficiency and reliability of the power system. The purpose of this paper is to comprehensively explore the application strategy of AI in various aspects of power grid operation and its practical effects, to make a comprehensive and systematic compendium of it, and to construct a complete application framework. It also provides an in-depth analysis of the challenges faced by AI technology in the operation process as well as the countermeasures to provide reference for other power-related enterprises.","State Grid Artificial Intelligence Co., Jinan, China; State Grid Artificial Intelligence Co., Jinan, China; State Grid Artificial Intelligence Co., Jinan, China; State Grid Artificial Intelligence Co., Jinan, China; State Grid Artificial Intelligence Co., Jinan, China",Y. Li; Y. Li; X. Ye; Y. Han; D. Dong,10.1109/IMCEC59810.2024.10575326,979-8-3503-1653-7,2693-2776,"2024 IEEE 6th Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)",2024,False
AI/ML Based new smart customer feedback system for hospitality Industry,"Since the last many years customer satisfaction play a significant role to improve the hospitality industry. In this article we introduce a proposed technology based practical and theoretical framework for customer feedback management system to improve the hospitality services and to enhance the customer business era. Technology such as Artificial intelligence and machine learning has important role to develop scalable smart feedback system. AI solution support the responding process for online customer reviews and assist the using automatically collected data. Sometime this is difficult to interpret the collected data form the customer, so we apply machine learning to fetch the corresponding data. Our solution contributes the existing customer feedback application to provide the smart feedback system to improve smart and open platform the customer and hospitality industry.","Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of CSE, Uttaranchal Institute of Technology, Uttaranchal University, Dehradun, India; Department of Management Studies, Graphic Era (Deemed to be University), Dehradun, Uttarakhand, India; Uttaranchal Institute of Management, Uttaranchal University, Dehradun, India",Ramnarayan; K. Joshi; J. Reshi; M. Memoria; A. Gupta; N. Rastogi,10.1109/ICCCS55188.2022.10079480,979-8-3503-0990-4,,"2022 7th International Conference on Computing, Communication and Security (ICCCS)",2022,False
The Impact of Artificial Intelligence on the Manufacturing Sector: A Systematic Literature Review of the Printing and Packaging Industry,"The business environment and production methods have drastically changed during the last ten years. The driving force for this transition is Fourth Industrial Revolution (4IR) and artificial intelligence (AI). The idea of intelligent augmentation will be at the center of the best AI systems' design. The jobs with the most job security in an AI future will be those requiring management expertise and innovation. Humans differ from other species in this way of capabilities. Those that can work well with others while utilizing AI tools to improve their organization's efficiency, will provide the most value. An output that is both resource- and energy-efficient is a crucial key performance measure for industrial firms to operate profitably and keep their competitiveness. The study presents a conceptual literature framework of the impact of AI in the manufacturing sector. The manufacturing sector is leading the way on the utilization of artificial intelligence technologies. Manufacturers are using AI-powered data analytics to improve productivity, product quality, and worker safety, from major reductions in unexpected downtime to better product design.","Faculty of Engineering and the Built, Environment University of Johannesburg, Johannesburg, South Africa; Faculty of Engineering and the Built, Environment University of Johannesburg, Johannesburg, South Africa",N. I. Sukdeo; D. Mothilall,10.1109/icABCD59051.2023.10220486,979-8-3503-1480-9,,"2023 International Conference on Artificial Intelligence, Big Data, Computing and Data Communication Systems (icABCD)",2023,False
Analysis of the introduction of artificial intelligence in the control of UAV,"Recently, the demand for unmanned aerial vehicles has been growing at an exponential rate and unmanned aerial vehicles are being used in many industries for many purposes. By adding artificial intelligence, the potential of these devices increases. Artificial intelligence itself can make operation of unmanned aircraft easier and more efficient, but it does not have only positive aspects. Artificial intelligence in drones requires more energy and also much more computing power. The paper is focused on the analysis of the introduction of artificial intelligence in the control of unmanned aerial vehicles. The paper contains comparative analysis of scientific papers that are dealing with artificial intelligence in the control of unmanned aerial vehicles.","Air Transport Department, University of ŽHina, Žilina, Slovakia; Air Transport Department, University of ŽHina, Žilina, Slovakia; Air Transport Department, University of ŽHina, Žilina, Slovakia; Air Transport Department, University of ŽHina, Žilina, Slovakia",J. Gúcky; K. Kováčiková; A. Novák; M. Bugaj,10.1109/NTAD57912.2022.10013514,979-8-3503-2036-7,,2022 New Trends in Aviation Development (NTAD),2022,False
The Use of Artificial Intelligence in Learning on Social Networking Sites Among Hungarian and Turkish Youth,"Digitalisation, and the modernisation that comes with digitalisation, has become part of our lives. Alongside digitalisation, innovation has become the leading concept of the 21st century, and we are now seeing the emergence of artificial intelligence. The rise of artificial intelligence has become an unstoppable process. We see it in the day-to-day management of our business, in customer services, but we are now seeing artificial intelligence applications replacing live humans on the screen. Encountering artificial intelligence is a phenomenon that awaits us regardless of our age. The aim of our research is to investigate how and in what form young people, who are part of the education system, encounter AI. We wanted to assess, based on the results of a questionnaire survey conducted in Hungary and Turkey, where and in what form young people in the age group 14 and above encounter any form of AI. We used cross tabulation analysis to draw conclusions in order to get a useful picture of the place and role of AI in the lives of young people.","Keleti Károly Faculty of Business and Management, Óbuda University, Budapest, Hungary; Doctoral School of Safety Sciences, Óbuda University, Budapest, Hungary; Kirikkale University, Kirikkale, Turkey",Á. Csiszárik-Kocsir; B. Revák; S. Savas,10.1109/SACI60582.2024.10619892,979-8-3503-2952-0,2765-818X,2024 IEEE 18th International Symposium on Applied Computational Intelligence and Informatics (SACI),2024,False
Artificial Intelligence for Automated Support in Educational Systems,"Educational institutions frequently suffer from inefficiencies in decision-making, interdepartmental communication, and administrative procedures. In order to optimize resource allocation, automate procurement workflows, and streamline helpdesk operations, this research study proposes an AI-powered platform that combines machine learning (ML) with Natural Language Processing (NLP). The platform acts as a central location for handling enquiries, automating repetitive processes, and enhancing decision-making by utilizing insights derived from data. The proposed system improves query response, fosters interdepartmental communication, and provides predictive analytics to predict resource requirements by continuously learning from user interactions. Through process automation, real-time support, and smooth departmental communication, this AI-driven system aims to improve institutional efficiency, reduce delays, and raise employee satisfaction.","Department of Computer Science and Business Systems, K.S.Rangasamy College of Technology, Namakkal, India; Department of Computer Science and Business Systems, K.S.Rangasamy College of Technology, Namakkal, India; Department of Computer Science and Business Systems, K.S.Rangasamy College of Technology, Namakkal, India; Department of Computer Science and Business Systems, K.S.Rangasamy College of Technology, Namakkal, India",K. R; M. V. S; S. R; S. S,10.1109/ICMSCI62561.2025.10894536,979-8-3315-0982-8,,2025 International Conference on Multi-Agent Systems for Collaborative Intelligence (ICMSCI),2025,False
