document title,abstract,author affiliations,authors,doi,isbns,issn,publication title,publication year,relevant_llama3,relevant_gemma3,relevant_phi4,relevant,abstract_pp,exclude
A Secure Protocol for Computer-Based Assessments in Disrupted Environments,"Examinations are fundamental to education, yet conducting secure computer-based exams in disrupted environments presents significant challenges. This research introduces a Secure by Design protocol leveraging Delay Tolerant Networks (DTN) to overcome connectivity gaps in remote and resource-constrained areas. The proposed solution integrates physical, administrative, and technical controls to ensure the confidentiality, integrity, and availability of examination data. Through an iterative action research approach, the system evolved from a centralized Moodle server to standalone local servers, enabling offline functionality and enhanced resilience. Tested across over 180,000 candidates in Sri Lanka’s largest computer-based examination, the framework effectively addressed power outages, internet disruptions, and logistical constraints. The findings demonstrate the protocol’s effectiveness in promoting equitable and reliable access to education, ensuring examination continuity despite adverse conditions.","School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka; School of Computing, University of Colombo, Colombo, Sri Lanka; Sri Institute of Information Technology, Colombo, Sri Lanka",D. Navin; K. De Zoysa; D. D. Karunaratna; B. Harshanath,10.1109/ICARC64760.2025.10963243,979-8-3315-3098-3,,2025 5th International Conference on Advanced Research in Computing (ICARC),2025,True,True,False,True,"Examinations are fundamental to education, yet conducting secure computer-based exams in disrupted environments presents significant challenges. This research introduces a Secure by Design protocol leveraging Delay Tolerant Networks (DTN) to overcome connectivity gaps in remote and resource-constrained areas. The proposed solution integrates physical, administrative, and technical controls to ensure the confidentiality, integrity, and availability of examination data. Through an iterative action research approach, the system evolved from a centralized Moodle server to standalone local servers, enabling offline functionality and enhanced resilience. Tested across over 180,000 candidates in Sri Lanka’s largest computer-based examination, the framework effectively addressed power outages, internet disruptions, and logistical constraints. The findings demonstrate the protocol’s effectiveness in promoting equitable and reliable access to education, ensuring examination continuity despite adverse conditions.",False
Exploring the potential of emerging technologies as pedagogical tools for engineering education,"The utilization of emerging technologies in the field of education has evolved into a valuable resource for fostering pedagogical advancements. Hence, the primary aim of this article is to assess and compare various technologies employed in university classrooms based on their effectiveness in stimulating student motivation for learning. An instructional approach focused on motivation was implemented. Technologies such as machine learning, augmented reality, additive manufacturing, smart mobile devices, Moodle platforms, interactive TVs and traditional classrooms were compared. The motivation stimulated by the use of each implemented technology was quantified by means of a questionnaire designed for this purpose, which was applied to 540 engineering students, using a non-experimental quantitative research approach. The results obtained revealed significant differences between the different technologies studied, with interactive television standing out as the most motivating. This article provides a validated measurement model and solid scientific references, with the aim of encouraging the use of emerging technologies both inside and outside the classroom.","Facultad de Cs. de la Ingeniería, Universidad Católica del Maule, Talca, Chile",L. A. Laurens-Arredondo,10.1109/SCCC59417.2023.10315750,979-8-3503-1389-5,2691-0632,2023 42nd IEEE International Conference of the Chilean Computer Science Society (SCCC),2023,True,True,False,True,"The utilization of emerging technologies in the field of education has evolved into a valuable resource for fostering pedagogical advancements. Hence, the primary aim of this article is to assess and compare various technologies employed in university classrooms based on their effectiveness in stimulating student motivation for learning. An instructional approach focused on motivation was implemented. Technologies such as machine learning, augmented reality, additive manufacturing, smart mobile devices, Moodle platforms, interactive TVs and traditional classrooms were compared. The motivation stimulated by the use of each implemented technology was quantified by means of a questionnaire designed for this purpose, which was applied to 540 engineering students, using a non-experimental quantitative research approach. The results obtained revealed significant differences between the different technologies studied, with interactive television standing out as the most motivating. This article provides a validated measurement model and solid scientific references, with the aim of encouraging the use of emerging technologies both inside and outside the classroom.",False
Exploring the Design and Implementation of a Robotic-Coding Camp in Teacher Education,"This study focused on a bachelor- university-level course that aims to design and implement a robotic-coding camp to train pre-service teachers. Seventeen pre-service teachers participated in this study conducted in the Computational Empowerment Lab at the Center of Teacher Education at the University of Vienna. The researchers aimed to identify specific improvement strategies for in-service and pre-service teachers to enhance their pedagogical practices in designing a robotic-coding camp by promoting student critical thinking, computational thinking, and problem-solving competencies. Additionally, the study proposed to identify the relevant features of the camp's design and implementation that can promote practitioners' engagement and address the challenges they face. The course was offered during the summer semester of 2023. For the procedure of the study, pre-service teachers thought about a problem or situation using the phenomena-based learning method and explained the problem using mediating tools, including educational robots, 3D printers, laser-cutting, and creative Lego boxes, among others. At the end of the course, students developed their project, designed a prototype of a robotic-coding camp, and created digital stories as real-world basis problem statements for their project. Students' assignments and group work interactions, including forum discussions in Moodle, reflection papers, and hands-on activities, were used as data sources. Data collected and analyzed by qualitatively. Participatory action research was used as a research method. The results provide guidelines for how to design and implement robotic coding camps and digital stories for teachers who might want to implement a robotic camp in their future careers. In addition, the results suggest improvement strategies for designing robotic coding activities, including four action steps: (1) phenomenon-based problem statement, (2) visualizing the problem as a digital story, (3) finding a pattern in the problem and (4) creating the learning environment and coding. The most challenging part was the third step, in which participant had difficulty finding a pattern within the problem.","Centre for Teacher Education, University of Vienna, Vienna, Austria; Centre for Teacher Education, University of Vienna, Vienna, Austria",P. Y. Arslan; F. Kayali,10.1109/FIE58773.2023.10343492,979-8-3503-3642-9,2377-634X,2023 IEEE Frontiers in Education Conference (FIE),2023,True,True,False,True,"This study focused on a bachelor- university-level course that aims to design and implement a robotic-coding camp to train pre-service teachers. Seventeen pre-service teachers participated in this study conducted in the Computational Empowerment Lab at the Center of Teacher Education at the University of Vienna. The researchers aimed to identify specific improvement strategies for in-service and pre-service teachers to enhance their pedagogical practices in designing a robotic-coding camp by promoting student critical thinking, computational thinking, and problem-solving competencies. Additionally, the study proposed to identify the relevant features of the camp's design and implementation that can promote practitioners' engagement and address the challenges they face. The course was offered during the summer semester of 2023. For the procedure of the study, pre-service teachers thought about a problem or situation using the phenomena-based learning method and explained the problem using mediating tools, including educational robots, 3D printers, laser-cutting, and creative Lego boxes, among others. At the end of the course, students developed their project, designed a prototype of a robotic-coding camp, and created digital stories as real-world basis problem statements for their project. Students' assignments and group work interactions, including forum discussions in Moodle, reflection papers, and hands-on activities, were used as data sources. Data collected and analyzed by qualitatively. Participatory action research was used as a research method. The results provide guidelines for how to design and implement robotic coding camps and digital stories for teachers who might want to implement a robotic camp in their future careers. In addition, the results suggest improvement strategies for designing robotic coding activities, including four action steps: (1) phenomenon-based problem statement, (2) visualizing the problem as a digital story, (3) finding a pattern in the problem and (4) creating the learning environment and coding. The most challenging part was the third step, in which participant had difficulty finding a pattern within the problem.",False
Generative AI Enabled Robotic Process Automation: A Practical Case Study,"Robotic Process Automation (RPA) can be used to automate highly repeatable business processes. However, it might struggle in non-deterministic situations where some sort of understanding is required. For example, it can automatically load all the students’ answers from an online examination, but it cannot mark them without the help of some kind of AI. This significantly limits its capabilities. Generative AI and applications such as ChatGPT have many potential applications as they can generate and understand natural language text, making them ideal candidates for addressing the limitations of RPA. In this paper, we propose a practical way of enhancing Robotic Process Automation using Generative AI. This work also includes a practical case study that uses Visual Studio C#, Selenium, and ChatGPT for automatically grading students’ examination attempts in the Moodle Learning Management System. The results show that the application managed to grade the students with minimal human input.","School of Computer Sciences, University of Wollongong in Dubai, Dubai, United Arab Emirates; Department of Computer and Software Technology, University of Swat, KPK, Pakistan; School of Computer Sciences, University of Wollongong in Dubai, Dubai, United Arab Emirates; Department of Computer and Software Technology, University of Swat, KPK, Pakistan",A. Latif; M. ElBarachi; G. Tsaramirsis; F. Q. Khan,10.1109/ICPADS63350.2024.00104,979-8-3315-1596-6,2690-5965,2024 IEEE 30th International Conference on Parallel and Distributed Systems (ICPADS),2024,True,True,False,True,"Robotic Process Automation (RPA) can be used to automate highly repeatable business processes. However, it might struggle in non-deterministic situations where some sort of understanding is required. For example, it can automatically load all the students’ answers from an online examination, but it cannot mark them without the help of some kind of AI. This significantly limits its capabilities. Generative AI and applications such as ChatGPT have many potential applications as they can generate and understand natural language text, making them ideal candidates for addressing the limitations of RPA. In this paper, we propose a practical way of enhancing Robotic Process Automation using Generative AI. This work also includes a practical case study that uses Visual Studio C#, Selenium, and ChatGPT for automatically grading students’ examination attempts in the Moodle Learning Management System. The results show that the application managed to grade the students with minimal human input.",False
The Role of Learning Analytics in Assessing the Effectiveness of Blended Education: A Case Study of Astana IT University,"The transformation of higher education has brought new forms and approaches to learning to the forefront, highlighting online and blended learning. With the growing popularity of these new learning formats, questions about their effectiveness have arisen, which can be analyzed using learning analytics data. In the Kazakhstani scientific community, interest in learning analytics is in its infancy, reflected in the lack of publications on this topic. The article discusses blended learning at one of the universities in Kazakhstan, namely Astana IT University. The effectiveness of blended learning is analyzed using several methods to address two main research questions. The article includes a comparative analysis of traditional and blended learning formats at the specified university based on data on the overall academic performance of students in four selected socio-humanitarian disciplines from 2021 to 2023. Educational data were obtained from the Modular Object-Oriented Dynamic Learning Environment (Moodle) system. Additionally, the article presents data from a sociological survey among first-year students regarding their perception of the blended learning format. Furthermore, to search for a Pearson linear correlation between online lectures and academic performance data on the number of interactions students have with online content from the Learn system (Open edX) were extracted and analyzed.","Department of General Disciplines, Astana IT University, Astana, Kazakhstan; Digital Institute of Lifelong Education, Astana IT University, Astana, Kazakhstan; Department of General Disciplines, Astana IT University, Astana, Kazakhstan; Department of General Disciplines, Astana IT University, Astana, Kazakhstan",M. Zhanarstanova; Y. Alimzhanov; Y. Dossymkhan; A. Kaldybekova,10.1109/SIST61555.2024.10629415,979-8-3503-7486-5,,2024 IEEE 4th International Conference on Smart Information Systems and Technologies (SIST),2024,False,True,True,True,"The transformation of higher education has brought new forms and approaches to learning to the forefront, highlighting online and blended learning. With the growing popularity of these new learning formats, questions about their effectiveness have arisen, which can be analyzed using learning analytics data. In the Kazakhstani scientific community, interest in learning analytics is in its infancy, reflected in the lack of publications on this topic. The article discusses blended learning at one of the universities in Kazakhstan, namely Astana IT University. The effectiveness of blended learning is analyzed using several methods to address two main research questions. The article includes a comparative analysis of traditional and blended learning formats at the specified university based on data on the overall academic performance of students in four selected socio-humanitarian disciplines from 2021 to 2023. Educational data were obtained from the Modular Object-Oriented Dynamic Learning Environment (Moodle) system. Additionally, the article presents data from a sociological survey among first-year students regarding their perception of the blended learning format. Furthermore, to search for a Pearson linear correlation between online lectures and academic performance data on the number of interactions students have with online content from the Learn system (Open edX) were extracted and analyzed.",False
A hierarchical deep learning-based recurrent convolutional neural network for robust voltage and frequency operation management in microgrids,"Microgrids (MGs) integrate various dynamic energy sources, often making it challenging for traditional control techniques to manage these complexities. This study addresses key requirements faced by MG systems, particularly in the robust regulation of voltage and frequency (V/F) components. The proposed two-coating and layer control strategy aims to optimize MG operation effectively. To determine the coefficients for the power droop controller (PDC), a novel method called the hierarchical deep learning-based recurrent convolutional neural network (HDL-RCNN) is presented. This method incorporates feedback from system components and formats the measured data into a grid structure before inputting it into the RCNN platform. This formatting allows for the automatic extraction of temporal and spatial features crucial for V/F stability. The RCNN architecture includes several layers, such as long short-term memory (LSTM) layers, convolutional layers, highly coupled layers, and other cascaded features. Results show significant improvements in voltage and frequency control: voltage oscillations in MG1 were reduced from 0.028pu to 0.004pu, and frequency fluctuations in MG2 decreased from 0.025pu to 0.007pu. Additionally, the method ensures the voltage stabilizes at 1pu, with minimal fluctuations, and provides robust performance across dynamic load changes and noisy conditions. These findings were validated through extensive testing on a MATLAB/Simulink platform, demonstrating the effectiveness of the HDL-RCNN in enhancing V/F stability and operational reliability in MGs. © 2024 Elsevier B.V.","Khosravi, Nima Centre of Research Impact and Outcome, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, Rajpura, 140401, India; Abdolmohammadi, Hamid Reza Electrical and Computer Engineering Group, Golpayegan College of Engineering, Isfahan University of Technology, Golpayegan, 87717-67498, Iran","Khosravi, Nima and Abdolmohammadi, Hamid Reza",10.1016/j.asoc.2024.112645,UNKNOWN,15684946,Applied Soft Computing,2025,True,False,True,True,"Microgrids (MGs) integrate various dynamic energy sources, often making it challenging for traditional control techniques to manage these complexities. This study addresses key requirements faced by MG systems, particularly in the robust regulation of voltage and frequency (V/F) components. The proposed two-coating and layer control strategy aims to optimize MG operation effectively. To determine the coefficients for the power droop controller (PDC), a novel method called the hierarchical deep learning-based recurrent convolutional neural network (HDL-RCNN) is presented. This method incorporates feedback from system components and formats the measured data into a grid structure before inputting it into the RCNN platform. This formatting allows for the automatic extraction of temporal and spatial features crucial for V/F stability. The RCNN architecture includes several layers, such as long short-term memory (LSTM) layers, convolutional layers, highly coupled layers, and other cascaded features. Results show significant improvements in voltage and frequency control: voltage oscillations in MG1 were reduced from 0.028pu to 0.004pu, and frequency fluctuations in MG2 decreased from 0.025pu to 0.007pu. Additionally, the method ensures the voltage stabilizes at 1pu, with minimal fluctuations, and provides robust performance across dynamic load changes and noisy conditions. These findings were validated through extensive testing on a MATLAB/Simulink platform, demonstrating the effectiveness of the HDL-RCNN in enhancing V/F stability and operational reliability in MGs. © 2024 Elsevier B.V.",False
IntelliGrid AI: A Blockchain and Deep-Learning Framework for Optimized Home Energy Management with V2H and H2V Integration,"Featured Application: IntelliGrid AI revolutionizes smart home energy management by integrating blockchain, deep learning, and vehicle-to-home (V2H) technology, enabling optimized energy consumption, secure peer-to-peer energy trading, and adaptive scheduling. It demonstrated that 20% reduction in energy costs and scalability makes it ideal for renewable-powered communities and smart city applications. The integration of renewable energy sources and electric vehicles has become a focal point for industries and academia due to its profound economic, environmental, and technological implications. These developments require the development of a robust intelligent home energy management system (IHEMS) to optimize energy utilization, enhance transaction security, and ensure grid stability. For this reason, this paper develops an IntelliGrid AI, an advanced system that integrates blockchain technology, deep learning (DL), and dual-energy transmission capabilities—vehicle to home (V2H) and home to vehicle (H2V). The proposed approach can dynamically optimize household energy flows, deploying real-time data and adaptive algorithms to balance energy demand and supply. Blockchain technology ensures the security and integrity of energy transactions while facilitating decentralized peer-to-peer (P2P) energy trading. The core of IntelliGrid AI is an advanced Q-learning algorithm that intelligently allocates energy resources. V2H enables electric vehicles to power households during peak periods, reducing the strain on the grid. Conversely, H2V technology facilitates the efficient charging of electric cars during peak hours, contributing to grid stability and efficient energy utilization. Case studies conducted in Tunisia validate the system’s performance, showing a 20% reduction in energy costs and significant improvements in transaction efficiency. These results highlight the practical benefits of integrating V2H and H2V technologies into innovative energy management frameworks. © 2025 by the authors.","Binyamin, Sami The Applied College, King Abdulaziz University, P.O. Box 80200, Jeddah, 21589, Saudi Arabia","Binyamin, Sami and Slama, Sami Ben",10.3390/ai6020034,UNKNOWN,26732688,AI (Switzerland),2025,True,True,False,True,"Featured Application: IntelliGrid AI revolutionizes smart home energy management by integrating blockchain, deep learning, and vehicle-to-home (V2H) technology, enabling optimized energy consumption, secure peer-to-peer energy trading, and adaptive scheduling. It demonstrated that 20% reduction in energy costs and scalability makes it ideal for renewable-powered communities and smart city applications. The integration of renewable energy sources and electric vehicles has become a focal point for industries and academia due to its profound economic, environmental, and technological implications. These developments require the development of a robust intelligent home energy management system (IHEMS) to optimize energy utilization, enhance transaction security, and ensure grid stability. For this reason, this paper develops an IntelliGrid AI, an advanced system that integrates blockchain technology, deep learning (DL), and dual-energy transmission capabilities—vehicle to home (V2H) and home to vehicle (H2V). The proposed approach can dynamically optimize household energy flows, deploying real-time data and adaptive algorithms to balance energy demand and supply. Blockchain technology ensures the security and integrity of energy transactions while facilitating decentralized peer-to-peer (P2P) energy trading. The core of IntelliGrid AI is an advanced Q-learning algorithm that intelligently allocates energy resources. V2H enables electric vehicles to power households during peak periods, reducing the strain on the grid. Conversely, H2V technology facilitates the efficient charging of electric cars during peak hours, contributing to grid stability and efficient energy utilization. Case studies conducted in Tunisia validate the system’s performance, showing a 20% reduction in energy costs and significant improvements in transaction efficiency. These results highlight the practical benefits of integrating V2H and H2V technologies into innovative energy management frameworks. © 2025 by the authors.",False
The impact of frequency and stakes of formative assessment on student achievement in higher education: A learning analytics study,"Background: Research shows that how formative assessments are operationalized plays a crucial role in shaping their engagement with formative assessments, thereby impacting their effectiveness in predicting academic achievement. Mandatory assessments can ensure consistent student participation, leading to better tracking of learning progress. Optional assessments may encourage voluntary engagement, potentially leading to a more genuine reflection of student understanding. Also, frequent assessments provide continuous opportunities for feedback and adjustment, which can keep students actively engaged in the learning process. Objectives: This study aims to investigate two crucial facets of formative assessments: frequency and the level of stakes involved (mandatory vs. optional). We examine how modifying the frequency of formative assessments affects students' course performance. Additionally, we evaluate the impact of mandatory versus optional formative assessments on students' course performance in higher education. Methods: The sample of this study consisted of undergraduate students (n","Bulut, Okan Centre for Research in Applied Measurement and Evaluation, Faculty of Education, University of Alberta, Edmonton, Canada; Gorgun, Guher Measurement, Evaluation, and Data Science, Faculty of Education, University of Alberta, Edmonton, Canada; Yildirim-Erbasli, Seyma Nur Department of Psychology, Concordia University of Edmonton, Edmonton, Canada","Bulut, Okan and Gorgun, Guher and Yildirim-Erbasli, Seyma Nur",10.1111/jcal.13087,UNKNOWN,02664909,Journal of Computer Assisted Learning,2025,False,True,True,True,"Background: Research shows that how formative assessments are operationalized plays a crucial role in shaping their engagement with formative assessments, thereby impacting their effectiveness in predicting academic achievement. Mandatory assessments can ensure consistent student participation, leading to better tracking of learning progress. Optional assessments may encourage voluntary engagement, potentially leading to a more genuine reflection of student understanding. Also, frequent assessments provide continuous opportunities for feedback and adjustment, which can keep students actively engaged in the learning process. Objectives: This study aims to investigate two crucial facets of formative assessments: frequency and the level of stakes involved (mandatory vs. optional). We examine how modifying the frequency of formative assessments affects students' course performance. Additionally, we evaluate the impact of mandatory versus optional formative assessments on students' course performance in higher education. Methods: The sample of this study consisted of undergraduate students (n",False
Reinforcement Learning Solutions for Microgrid Control and Management: A Survey,"A microgrid (MG) is part of a distribution system that comprises loads and distributed energy resources, capable of operating either connected to or islanded from the primary grid. Having an appropriate design, MG controllers improve energy efficiency, playing a vital role in the modern distribution system. Thus, MG management and control has become a broad area of research due to its complex operation. Reinforcement learning (RL) offers adaptive solutions for handling MG complex dynamics and nonlinearity. It is an alternative to traditional algorithms and control methods in tasks, such as load frequency control, resource allocation, and energy management. Due to the relevance of the topic, this survey examined the role of RL in MG control and management, offering a comprehensive update on previous reviews, categorising articles by RL type, control objectives, and MG operational modes. Additionally, hardware implementations and performance assessments across RL-based solutions were evaluated. The present survey identified key research trends and gaps, contributing to understanding the role of RL in MG management and control and guiding future solutions in the field. © 2013 IEEE.","Barbalho, Pedro I. N. University of São Paulo, São Carlos, São Carlos School of Engineering, Department of Electrical and Computing Engineering, São Paulo, 13566-590, Brazil; Moraes, Anderson L. Universitat Politècnica de Catalunya (CITCEA-UPC), Centre d'Innovacio Tecnològica en Convertidors Estatics i Accionaments, Barcelona, 08028, Spain; Lacerda, Vinicius A. Federal University of Uberlândia, Faculty of Electrical Engineering, Uberlândia, 38408-100, Brazil","Barbalho, Pedro I. N. and Moraes, Anderson L. and Lacerda, Vinicius A. and Barra, Pedro H. A. and Fernandes, Ricardo A. S. and Coury, Denis V.",10.1109/ACCESS.2025.3546578,UNKNOWN,21693536,IEEE Access,2025,True,False,True,True,"A microgrid (MG) is part of a distribution system that comprises loads and distributed energy resources, capable of operating either connected to or islanded from the primary grid. Having an appropriate design, MG controllers improve energy efficiency, playing a vital role in the modern distribution system. Thus, MG management and control has become a broad area of research due to its complex operation. Reinforcement learning (RL) offers adaptive solutions for handling MG complex dynamics and nonlinearity. It is an alternative to traditional algorithms and control methods in tasks, such as load frequency control, resource allocation, and energy management. Due to the relevance of the topic, this survey examined the role of RL in MG control and management, offering a comprehensive update on previous reviews, categorising articles by RL type, control objectives, and MG operational modes. Additionally, hardware implementations and performance assessments across RL-based solutions were evaluated. The present survey identified key research trends and gaps, contributing to understanding the role of RL in MG management and control and guiding future solutions in the field. © 2013 IEEE.",False
Knowledge sharing to learn from error: a case study in a professional service triad,"Purpose: Knowledge sharing (KS) helps employees learn from errors, but not much research has highlighted how sharing practices develop and take place in networked organizations. This study aims to explore how the professionals in a service triad develop and execute KS practices to learn from error. Design/methodology/approach: A case study approach was adopted that focused on professionals working in a US-based company that was part of a health insurance service triad. The organization (“CaseCo”) processed the insurance claims filed by hospitals and doctors. The authors gathered qualitative data by conducting nine focus group discussions (FGDs) among CaseCo’s professionals. The FGDs involved a total of 51 professionals (17 women and 34 men) working in three centres of CaseCo in India. Findings: The analyses revealed that error-related knowledge sharing (ERKS) practices emerge in a professional service triad (PST) through a culture of situated learning. They occur in ways that involves the use of repositories on the one hand, and connections between individuals on the other, both within and across the PST’s organizations. Such practices represent a dynamic system of knowledge stocks and flows in the PST. Originality/value: To the best of authors’ knowledge, this is the first study that brings to the fore how ERKS practices develop and are executed in a professional organization in a triadic network structure. © 2023, Emerald Publishing Limited.","Natarajan, Rajaram Production, Operations and Decision Sciences Area, XLRI Xavier School of Management, Jamshedpur, India","Natarajan, Rajaram and Kumar, J. Ajith",10.1108/VJIKMS-07-2022-0223,UNKNOWN,20595891,VINE Journal of Information and Knowledge Management Systems,2025,True,False,True,True,"Purpose: Knowledge sharing (KS) helps employees learn from errors, but not much research has highlighted how sharing practices develop and take place in networked organizations. This study aims to explore how the professionals in a service triad develop and execute KS practices to learn from error. Design/methodology/approach: A case study approach was adopted that focused on professionals working in a US-based company that was part of a health insurance service triad. The organization (“CaseCo”) processed the insurance claims filed by hospitals and doctors. The authors gathered qualitative data by conducting nine focus group discussions (FGDs) among CaseCo’s professionals. The FGDs involved a total of 51 professionals (17 women and 34 men) working in three centres of CaseCo in India. Findings: The analyses revealed that error-related knowledge sharing (ERKS) practices emerge in a professional service triad (PST) through a culture of situated learning. They occur in ways that involves the use of repositories on the one hand, and connections between individuals on the other, both within and across the PST’s organizations. Such practices represent a dynamic system of knowledge stocks and flows in the PST. Originality/value: To the best of authors’ knowledge, this is the first study that brings to the fore how ERKS practices develop and are executed in a professional organization in a triadic network structure. © 2023, Emerald Publishing Limited.",False
Enhancing Energy Efficiency in HVAC Systems through Intelligent Control Strategies,"Their operation is importance to provide comfort in indoor environment in residential and industrial buildings through Heating, Ventilation, and Air Conditioning (HVAC). Nonetheless, HVAC systems remain one of the most energy-consuming elements of buildings, contributing to more than 40 percent of a buildings energy usage. In this paper, the various intelligent control approaches deployed to improve the energy management of HVAC systems are discussed. Precise data acquisition in real time, machine learning algorithm, predictive control, as well as technology that contemplates demand response, help intelligent HVAC systems to decrease energy use while keeping proper indoor climate. The paper describes the contemporary technologies, their possibilities, and barriers for the developing more sustainable HVAC systems operation. © 2025, International Publications. All rights reserved.","Jerald, F. Department Of Ece, Dr.Mgr.Educational And Research Institute, Periyar E.V.R. High Road, Maduravoyal, Chennai, India; Gopalan, Anitha Department of Electronics and Communication Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Tamilnadu, Chennai, India; Shanmugasundaram, V. Department of EEE, Sona College of Technology, Sona Nagar, Salem, 636005, India; Karthik, S. Department of Mathematics, Vel Tech Rangarajan Dr. Sagunthala R&D Institute of Science and Technology, Tamil Nadu, Chennai, India; Santhoshi, B. Kavya Department of Electrical and Electronics Engineering, Godavari Global University, Andhra Pradesh, Rajahmundry, India; Sundaram, K. Mohana Department of Electrical and Electronics Engineering, KPR Institute of Engineering and Technology, Tamil Nadu, Coimbatore, India","Jerald, F. and Gopalan, Anitha and Shanmugasundaram, V. and Karthik, S. and Santhoshi, B. Kavya and Sundaram, K. Mohana",10.52783/anvi.v28.2187,UNKNOWN,1092910X,Advances in Nonlinear Variational Inequalities,2025,False,True,True,True,"Their operation is importance to provide comfort in indoor environment in residential and industrial buildings through Heating, Ventilation, and Air Conditioning (HVAC). Nonetheless, HVAC systems remain one of the most energy-consuming elements of buildings, contributing to more than 40 percent of a buildings energy usage. In this paper, the various intelligent control approaches deployed to improve the energy management of HVAC systems are discussed. Precise data acquisition in real time, machine learning algorithm, predictive control, as well as technology that contemplates demand response, help intelligent HVAC systems to decrease energy use while keeping proper indoor climate. The paper describes the contemporary technologies, their possibilities, and barriers for the developing more sustainable HVAC systems operation. © 2025, International Publications. All rights reserved.",False
Models of Intelligent Tutoring Systems Based on Autonomous Agents for Virtual Learning Environments: A Systematic Literature Review,"Virtual education combines didactic strategies with information and communication technologies to facilitate student access, interaction, and active participation. Academic monitoring and tutoring should be conducted within virtual learning environments (VLE) with the support of a virtual tutor to provide personalized advice and feedback. The review integrates theories, didactic strategies, learning styles, and computational models. This research presents a systematic review of literature on tutoring models in virtual education. The objective is to identify intelligent tutoring systems (ITS) models that use autonomous agents and expert systems in virtual learning environments. Additionally, strategies for implementing ITS in VLEs are presented. The identified models focus on adaptive learning, learning styles, and student skills for developing a specific course. It is proposed to design an architecture in the Moodle platform for academic monitoring of students in the online modality using autonomous agents. A holistic approach is considered, combining the efficiency of AI with didactic strategies that personalize learning through friendly human-machine interaction. The research on ITS models focuses on adaptive learning, considering new technological trends, while also considering the interaction between the student and the virtual tutor. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","López-Goyez, Juan P. Grupo de Investigación BISITE, Departamento de Informática y Automática, Facultad de Ciencias, University of Salamanca, Instituto de Investigación Biomédica de Salamanca, Calle Espejo 2, 24.2, Salamanca, 37007, Spain; González-Briones, Alfonso Universidad Politécnica Estatal del Carchi, Antisana S/N, Tulcán, 040101, Ecuador","López-Goyez, Juan P. and González-Briones, Alfonso and Chamorro, Andrea F.",10.1007/978-3-031-70415-4_16,978-303170414-7,03029743,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),2025,False,True,True,True,"Virtual education combines didactic strategies with information and communication technologies to facilitate student access, interaction, and active participation. Academic monitoring and tutoring should be conducted within virtual learning environments (VLE) with the support of a virtual tutor to provide personalized advice and feedback. The review integrates theories, didactic strategies, learning styles, and computational models. This research presents a systematic review of literature on tutoring models in virtual education. The objective is to identify intelligent tutoring systems (ITS) models that use autonomous agents and expert systems in virtual learning environments. Additionally, strategies for implementing ITS in VLEs are presented. The identified models focus on adaptive learning, learning styles, and student skills for developing a specific course. It is proposed to design an architecture in the Moodle platform for academic monitoring of students in the online modality using autonomous agents. A holistic approach is considered, combining the efficiency of AI with didactic strategies that personalize learning through friendly human-machine interaction. The research on ITS models focuses on adaptive learning, considering new technological trends, while also considering the interaction between the student and the virtual tutor. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.",False
