"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Technological Development and Prospect of Unmanned Surface Vessel","Y. Yang; C. Shuai; G. Fan","College of Electrical Engineering, Navy University of Engineering; College of Electrical Engineering, Navy University of Engineering; College of Ordnance Engineering, Navy University of Engineering, Wuhan, China","2019 IEEE 3rd Advanced Information Management, Communicates, Electronic and Automation Control Conference (IMCEC)","6 Feb 2020","2019","","","717","722","With the development of new technologies such as machine learning, artificial intelligence, and group intelligence, autonomous systems including drones, unmanned aerial vehicles, and unmanned ships have emerged. Surface unmanned boats have become an inevitable trend in the field of the shipping industry in the future. As a product of a new generation of disruptive information technology, unmanned boats are not only an important part of military unmanned combat systems, but also provide important support for upgrading the country's scientific and technological innovation capabilities. Firstly, this paper introduces the characteristics and technical development of unmanned boats, and then elaborates the key challenges such as motion control and environmental awareness that is pretty much the agenda. Finally, the development prospects and directions are reviewed.","","978-1-7281-0513-0","10.1109/IMCEC46724.2019.8983889","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8983889","unmanned surface vessel;review;unmaned system;artificial intelligence","","","2","","42","IEEE","6 Feb 2020","","","IEEE","IEEE Conferences"
"Endangered data in Moodle platform with malicious plugins","Đ. Milošević; K. Kuk; B. Popović; P. Čisar","Ministry of Interior, Belgrade, Serbia; University of Criminal Investigation and Police Studies, Belgrade, Serbia; University of Criminal Investigation and Police Studies, Belgrade, Serbia; University of Criminal Investigation and Police Studies, Belgrade, Serbia",2022 21st International Symposium INFOTEH-JAHORINA (INFOTEH),"13 Apr 2022","2022","","","1","5","This paper describes potential endangerment to the database security in an e-learning systems, which directly violates the confidentiality of data use, and various abuses are possible. Special attention is paid to plugins for different CMS platforms, of which there are currently over 1,500 in the official repository as one of the leading ways for compromising database security at the moment. Installed plugins external to e-leaning system as Moodle, lets that system perform a function that's not in environment core, but can be very dangerous. Therefore, Moodle users should consider all the risks involved in installing software add-ons outside official the Moodle plugin download repository. Description of the database security problem is presented via a case study in which the potential endangering to the Moodle database based on the creation of a malicious plugin, vulnerable activities and social engineering attack.","2767-9470","978-1-6654-3778-3","10.1109/INFOTEH53737.2022.9751251","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9751251","Vulnerability;LMS Security;Moodle plugin;Database security;Phishing attacks","Electronic learning;Codes;Databases;Phishing;Psychology","","","","12","IEEE","13 Apr 2022","","","IEEE","IEEE Conferences"
"Survey on Applications of Multi-Armed and Contextual Bandits","D. Bouneffouf; I. Rish; C. Aggarwal","IBM Research, New York, USA; IBM Research, New York, USA; IBM Research, New York, USA",2020 IEEE Congress on Evolutionary Computation (CEC),"3 Sep 2020","2020","","","1","8","In recent years, the multi-armed bandit (MAB) framework has attracted a lot of attention in various applications, from recommender systems and information retrieval to healthcare and finance. This success is due to its stellar performance combined with attractive properties, such as learning from less feedback. The multiarmed bandit field is currently experiencing a renaissance, as novel problem settings and algorithms motivated by various practical applications are being introduced, building on top of the classical bandit problem. This article aims to provide a comprehensive review of top recent developments in multiple real-life applications of the multi-armed bandit. Specifically, we introduce a taxonomy of common MAB-based applications and summarize the state-of-the-art for each of those domains. Furthermore, we identify important current trends and provide new perspectives pertaining to the future of this burgeoning field.","","978-1-7281-6929-3","10.1109/CEC48606.2020.9185782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9185782","component;formatting;style;styling;insert","Heuristic algorithms;Recommender systems;Context modeling;Learning (artificial intelligence);Portfolios;Decision making;Computational modeling","","151","","39","IEEE","3 Sep 2020","","","IEEE","IEEE Conferences"
"A Review on Multiple Data Source Based Recommendation Systems","D. Roy; F. Shirazi","School of Information Technology Management, Ryerson University, Toronto, Canada; School of Information Technology Management, Ryerson University, Toronto, Canada",2021 International Conference on Computational Science and Computational Intelligence (CSCI),"22 Jun 2022","2021","","","1534","1539","Recommender systems are used by the content or item providers. The content could be video, music, etc. For example, Netflix recommends movies or TV shows, Amazon recommends books or other items, etc. Most content providers use their platform to collect data from their users and then use the collected data to design a recommender system. However, the recommendation results are more useful if a recommender system uses multiple data sources. Both Matrix Factorization (MF) and Deep Neural Network (DNN) models are used to design multiple data source-based recommenders. This paper reviews various approaches that use multiple data sources to design recommender systems using MF and DNN models.","","978-1-6654-5841-2","10.1109/CSCI54926.2021.00298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9799243","Matrix;Factorization;DNN;Regularization;LSTM","Deep learning;TV;Scientific computing;Soft sensors;Neural networks;Motion pictures;Data models","","2","","52","IEEE","22 Jun 2022","","","IEEE","IEEE Conferences"
"Machine Learning based Prediction of Customer Churning in Banking Sector","M. K. N V; B. K. K K; A. C. Mudhol","Department of Management Sciences, Maharaja Institute of Technology, Mysore, India; Department of Management Sciences, Maharaja Institute of Technology, Mysore, India; Department of Management Sciences, Maharaja Institute of Technology, Mysore, India",2022 International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),"16 Jan 2023","2022","","","474","481","The term “customer churn” refers to the process of losing customers over time in the commercial and financial worlds. Businesses are more prepared to take preventative steps against customer turnover when they are aware of which of their customers are most likely to defect. The bank will gain by knowing which customers are most likely to switch banks in the near future both practically and theoretically. This article offers a technique for identifying which banking clients are most likely to move banks by using algorithms created for machine learning. This article shows how, given sufficient customer data such as age, location, gender, credit card information, balance, etc., machine learning models such as Logistic Regression (LR), Naive Bayes' (NB)can accurately predict which customers are most likely to leave the bank in the future. Additionally, this article illustrates how machine learning models like Logistic Regression (LR), Naive Bayes (NB), can accurately predict what customers are most likely toFinally, this research analysisshows that NB is better than LR.","","978-1-6654-8962-1","10.1109/ICAISS55157.2022.10011126","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10011126","Banking;Customer Churn Prediction;Machine Learning;LR;NB","Companies;Business;Machine learning;Social networking (online);Costs;Banking;Regression analysis","","","","","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Statistically Robust Evaluation of Stream-Based Recommender Systems","J. Vinagre; A. M. Jorge; C. Rocha; J. Gama","Laboratory of Artificial Intelligence and Decision Support (LIAAD), INESC TEC, Porto, Portugal; Laboratory of Artificial Intelligence and Decision Support (LIAAD), INESC TEC, Porto, Portugal; Centre of Power and Energy Systems (CPES), INESC TEC, Porto, Portugal; Laboratory of Artificial Intelligence and Decision Support (LIAAD), INESC TEC, Porto, Portugal",IEEE Transactions on Knowledge and Data Engineering,"3 Jun 2021","2021","33","7","2971","2982","Online incremental models for recommendation are nowadays pervasive in both the industry and the academia. However, there is not yet a standard evaluation methodology for the algorithms that maintain such models. Moreover, online evaluation methodologies available in the literature generally fall short on the statistical validation of results, since this validation is not trivially applicable to stream-based algorithms. We propose a $k$k-fold validation framework for the pairwise comparison of recommendation algorithms that learn from user feedback streams, using prequential evaluation. Our proposal enables continuous statistical testing on adaptive-size sliding windows over the outcome of the prequential process, allowing practitioners and researchers to make decisions in real time based on solid statistical evidence. We present a set of experiments to gain insights on the sensitivity and robustness of two statistical tests—McNemar’s and Wilcoxon signed rank—in a streaming data environment. Our results show that besides allowing a real-time, fine-grained online assessment, the online versions of the statistical tests are at least as robust as the batch versions, and definitely more robust than a simple prequential single-fold approach.","1558-2191","","10.1109/TKDE.2019.2960216","National Funds; Portuguese funding agency; Fundação para a Ciência e a Tecnologia(grant numbers:UID/EEA/50014/2019); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8935156","Recommender systems;data streams;evaluation","Data models;Recommender systems;Testing;Protocols;Statistical analysis;Real-time systems;Proposals","","9","","34","IEEE","17 Dec 2019","","","IEEE","IEEE Journals"
"Designing Method of Art Education Course Based on Moodle Platform","X. Wang","Zheng Zhou College, Henan Finance University, ZhengZhou, China",2019 International Conference on Smart Grid and Electrical Automation (ICSGEA),"14 Nov 2019","2019","","","361","365","The main content of this paper is the curriculum design and development of Moodle platform and its environment. It also provides a detailed description of applying the various modules and resources of Moodle platform. The research explores the construction of the open source network teaching platform, constructs an example of online learning platform, and establishes a platform-based network course ""The Basis of Art Design"", according to the principles of online curriculum design and the requirements of teachers' educational technology literacy. Finally, the online learning platform is applied to teaching, and a questionnaire survey is conducted among students, aiming at the reflected questions. In the design of the system, based on the needs of specific courses, the functional modules of Moodle platform are redeveloped. To meet the specific curriculum requirements of the system, we also improve the application of the system in practical teaching activities, and complete the effective design of the system.","","978-1-7281-4463-4","10.1109/ICSGEA.2019.00088","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8901296","art teaching;Moodle;module;mysql;PHP","Conferences;Smart grids;Automation","","1","","5","IEEE","14 Nov 2019","","","IEEE","IEEE Conferences"
"Distance Learning Organizational Aspects on Analog Electronics Based on Moodle Platform","I. M. Pandiev","Department of Electronics, Faculty of Electronic Engineering and Technologies, Technical University of Sofia, 8 Kliment Ohridski blvd., Sofia, Bulgaria",2020 XXIX International Scientific Conference Electronics (ET),"5 Nov 2020","2020","","","1","4","This paper describes the distance learning organizational aspects on analog electronics course based on Learning Management System (LMS) Moodle. By using the Moodle platform, the developed course provides to the students, regardless of location and time, access to all necessary learning materials, including homework, self-assessment tests, electronic circuits and communication tools. Moreover, in the learning process, the students have opportunity to access assessments and feedback messages, which increases their engagement and motivation. In the Moodle environment the teachers have a constant global view of student progress and have a variety of tools, such as video conferencing for discussions, sending feedback messages for homework, obtaining statistics and performing additional verifications of the separate academic groups. The analysis of the student evaluation results showed that the use of the distance learning course can increase the effectiveness of the training and create skills, such as using computer-aided design systems, information technologies and teamwork.","","978-1-7281-7426-6","10.1109/ET50336.2020.9238280","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9238280","distance learning;e-learning;learning management systems;Moodle;analog circuits","Training;Computer aided instruction;Tools;Teamwork;Springs;Electronic circuits;Testing","","","","12","IEEE","5 Nov 2020","","","IEEE","IEEE Conferences"
"Assessment of Learning Outcomes in Distance Learning Using the Moodle Platform","O. Grytsiuk; L. Herasymenko; T. Nabok; T. Bryl; L. Maksimova","Department of Informatics and Higher Mathematics, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine; Department of Psychology, Pedagogy and Philosophy, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine; Department of Informatics and Higher Mathematics, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine; Department of Informatics and Higher Mathematics, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine; Department of Informatics and Higher Mathematics, Kremenchuk Mykhailo Ostrohradskyi National University, Kremenchuk, Ukraine",2022 IEEE 4th International Conference on Modern Electrical and Energy System (MEES),"16 Jan 2023","2022","","","1","4","The testing on the Moodle platform as a means of assessing the achievement of program learning outcomes in distance is researched on the example of mathematical disciplines at the Kremenchuk Mykhailo Ostrohradskyi National University. In the context of a pandemic, there is an intensification of distance learning. In connection with this, various platforms are being created for organizing online training. The krnu.org system on the Moodle platform is a modern distance education service that allows, first of all, to organize effective control of knowledge using a wide range of different tasks. The assessment criteria are clear and understandable for students. Testing makes it possible to check the programmatic learning outcomes, which is shown by the example of the study of mathematics by students of engineering specialties. The types and functions of testing in engineer's mathematical training in distance learning on the Moodle platform are investigated. A diagram of testing in mathematics for students of engineering specialties has been built.","","979-8-3503-4683-1","10.1109/MEES58014.2022.10005777","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10005777","Testing on the Moodle platform;program learning outcomes;distance learning;mathematical training;engineer's training","Training;Knowledge engineering;Computer aided instruction;Pandemics;Mathematics;Task analysis;Information technology","","","","23","IEEE","16 Jan 2023","","","IEEE","IEEE Conferences"
"Intelligent Tutoring System Trends 2006-2018: A Literature Review","J. Han; W. Zhao; Q. Jiang; M. Oubibi; X. Hu","School of Information Science and Technology, Northeast Normal University, Changchun, China; School of Information Science and Technology, Northeast Normal University, Changchun, China; School of Information Science and Technology, Northeast Normal University, Changchun, China; School of Information Science and Technology, Northeast Normal University, Changchun, China; Department of Psychology, University of Memphis, Memphis, USA",2019 Eighth International Conference on Educational Innovation through Technology (EITT),"5 Dec 2019","2019","","","153","159","This research examined the longitudinal trends of intelligent tutoring systems (ITS) research using text mining techniques in a more comprehensive manner. Two hundred and thirty-one (231) refereed journal articles were retrieved and analyzed from the Web of Science database from the top six major educational technology-based journals, which are based on the Google Scholar metrics and Baidu Scholar in the period from January 2006 to December 2018. Content analysis was implemented for further analysis based on (a) category of research purpose, (b) disciplines domains, (c) sample group, (d) context utilization, (e) research design, (f) category of learning, (g) learning outcome, (h) periodic journal, (i) country, (j) publisher. This review research of ITS presented findings, which could be a layover platform and guidance for researchers, educators, policymakers or even journal publisher for the future research or reference in the realm of ITS regarding the latest trends.","2166-0549","978-1-7281-4288-3","10.1109/EITT.2019.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8924064","Intelligent Tutoring System, Research Trends, literature Review","Education;Market research;Databases;Artificial intelligence;Information science;Google;Problem-solving","","13","","31","IEEE","5 Dec 2019","","","IEEE","IEEE Conferences"
"Design and Evaluation of an Approach for Feedback-Based Adaptation of Incident Prioritization","L. Renners; F. Heine; C. Kleiner; G. Dreo Rodosek","Hochschule Hannover, University of Applied Sciences and Arts, Hanover; Hochschule Hannover, University of Applied Sciences and Arts, Hanover; Hochschule Hannover, University of Applied Sciences and Arts, Hanover; Universitaet der Bundeswehr Muenchen, Neubiberg",2019 2nd International Conference on Data Intelligence and Security (ICDIS),"3 Oct 2019","2019","","","28","35","Network security tools like Security Information and Event Management systems detect and process incidents with respect to the network and environment they occur in. Part of the analysis is used to estimate a priority for the incident to effectively assign the limited workforce on the most important events. This process is referred to as incident prioritization and it is typically based on a set of static rules and calculations. Due to shifting concepts, new network entities, different attacks or changing guidelines, the rules may contain errors, which leads to incorrectly prioritized incidents. An explicit process to even identify those problems is often amiss, let alone assistance to adjust the model. In this paper, we present an approach to adapt an incident prioritization model to correct errors in the rating process. We developed concepts to collect feedback from an analyst and automatically generate and evaluate improvements to the prioritization model. The evaluation of our approach on real and synthetic data in a comparative experiment using further, regular learning algorithms shows promising results.","","978-1-7281-2080-5","10.1109/ICDIS.2019.00012","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8855297","incident prioritization, network security, cyber security, adaptive learning","Adaptation models;Security;Communication networks;Data models;Automation;Tools;Analytical models","","3","","13","IEEE","3 Oct 2019","","","IEEE","IEEE Conferences"
"Analysis of Compatibility in Open Source Android Mobile Apps","D. Mukherjee; G. Ruhe","SEDS Laboratory, University of Calgary, Alberta, Canada; SEDS Laboratory, University of Calgary, Alberta, Canada",2020 IEEE Seventh International Workshop on Artificial Intelligence for Requirements Engineering (AIRE),"20 Oct 2020","2020","","","70","78","Non-functional requirements (NFRs) form an intrinsic part of any software system. Compatibility between versions or different platforms of a software product is a form of NFRs. In this paper, we have studied Compatibility in open-source mobile apps. We are interested in understanding the different aspects of mobile incompatibility, their frequency of occurrence from a user perspective, and how much effort developers have spent on it. We have conducted a study on 40 randomly selected open-source mobile apps from the Google Play Store and have analyzed 258,056 commits (extracted from their version control system) to identify incompatibility issues in apps. We have also studied 205,847 reviews to identify and categorize compatibility requirements from user reviews. Both app commits and app reviews were processed by a pipeline of Natural Language Processing steps. We evaluated the efficiency of four Machine Learning classifiers to analyze compatibility. This was done by classifying commit messages and analyzing user reviews. We observed that the Logistic Regression classifier produced the best overall results. For the same data set, we classified compatibility types. In that case, the Support Vector Machine classifier performed marginally better over the other classifiers. Addressing the relative effort spent on compatibility, we found that 3.16% of the developer's effort is dedicated to compatibility issues. At the same time, we observed that 4.30% of user reviews report compatibility issues in apps. In conclusion, we see more demand for future research on (i)the gap between the time spent by the developers and the frequency of occurrence of compatibility issues, and (ii) the degree of responsiveness on actual user concerns.","","978-1-7281-8352-7","10.1109/AIRE51212.2020.00017","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9233032","Non-functional requirements, Compatibility, Machine Learning, Text Classification, Mobile apps, Developer Commits, Reviews","Mobile applications;Tools;Productivity;Testing;Internet;Performance evaluation;Software development management","","3","","39","IEEE","20 Oct 2020","","","IEEE","IEEE Conferences"
"Analysis of Student Learning Behavior based on Moodle Log Data","X. Tan; J. She; S. Chen; S. Ohno; H. Kameda","Graduate School of Engineering, Tokyo University of Technology, Tokyo, Japan; Graduate School of Engineering, Tokyo University of Technology, Tokyo, Japan; Department of Liberal Arts, Tokyo University of Technology, Tokyo, Japan; Graduate School of Computer Science, Tokyo University of Technology, Tokyo, Japan; Graduate School of Computer Science, Tokyo University of Technology, Tokyo, Japan",2021 14th International Conference on Human System Interaction (HSI),"17 Sep 2021","2021","","","1","4","The importance of online learning grows rapidly in higher education nowadays because it allows students to learn without time and space constraints, which are required by traditional classroom-based instructional models. Moodle is one of the most used learning management systems (LMSs) for online learning. This study investigated factors that influence student academic performance. We statistically analyzed Moodle log files of a beginner's Chinese course at Tokyo University of Technology and found that the most important factors that affected student academic performance were four: learning time zone, access times for optional learning material, completeness of course material, and assignment-submission time.","2158-2254","978-1-6654-4112-4","10.1109/HSI52170.2021.9538680","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9538680","e-learning;higher education;learning behavior;learning performance;learning management system (LMS);Moodle","Correlation coefficient;Learning management systems;Art;Education;Regression analysis;Time factors;Springs","","1","","17","IEEE","17 Sep 2021","","","IEEE","IEEE Conferences"
"The Human-Computer Interaction Online Oral English Teaching Mode Based on Moodle Platform","C. Ni","Southampton International College, Dalian Polytechnic University, Dalian, China","2021 IEEE Asia-Pacific Conference on Image Processing, Electronics and Computers (IPEC)","7 May 2021","2021","","","633","635","This paper focuses on the study of human-computer interaction online oral English teaching mode based on Moodle platform. The research targets are the two classes of art students from the integrated model of international cooperative education in the author's university. Before the experiment, the students are divided into experimented class and controlled class. The college students' online oral English practice is established based on the Moodle platform. The experimental class have the access to use this platform to practice their oral English, but the controlled class just use the traditional way to study and practice. The experiment result shows that the experimented class students are interested in the human-computer interaction online oral English and have improved their oral English greatly.","","978-1-7281-9018-1","10.1109/IPEC51340.2021.9421327","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9421327","Moodle Platform;Human-Computer Interaction;Online Oral English;Teaching Mode","Human computer interaction;Training;Art;Image processing;Conferences;Psychology;Software","","1","","12","IEEE","7 May 2021","","","IEEE","IEEE Conferences"
"HPC/AI Deep Dive Training Experiences with Containers and JupyterLab","M. Kumar","University Institute of Computing Chandigarh University, Mohali, India",2022 International Conference on Knowledge Engineering and Communication Systems (ICKES),"17 Mar 2023","2022","","","1","5","High Performance Computing (HPC) and Artificial Intelligence (AI) are currently the two main pillars of research and development for various academics and professionals in science and engineering, and effective use of both technologies requires training. We conducted several HPC/AI deep dive trainings in two different ways: (1) for a single institute and organization in both online and offline mode, and (2) for a broader set of institutes and organizations in online mode. This work presents three different types of HPC/AI deep dive training with learning objectives and content that are beneficial for science and engineering academics, researchers, undergraduate and postgraduate students, as well as professionals. We describe the portability, reproducibility, and interactivity of deep dive training for HPC/AI by eliminating the need to set up the necessary prerequisites for the labs with containers and using the JupyterLab interface for a userfriendly and understandable environment. We evaluate the HPC/AI deep dive training feedback from participants and discuss the outcomes.","","978-1-6654-5637-1","10.1109/ICKECS56523.2022.10060302","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060302","Artificial Intelligence;Containers;Deep Dive Training;High Performance Computing;Interactivity;JupyterLab;Portability;Reproducibility","Training;Knowledge engineering;Communication systems;High performance computing;Organizations;Containers;Reproducibility of results","","1","","26","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Security scheme for Moodle platforms based on a multi-layered model","L. Nataly Basto Zabala; C. Santiago Rodríguez Velasco; H. Dario Jaimes Parada","Universidad Católica de Colombia, Bogotá, Colombia; Univeridad Católica de Colombia, Bogotá, Colombia; Universidad Católica de Colombia, Bogotá, Colombia",2022 Congreso Internacional de Innovación y Tendencias en Ingeniería (CONIITI),"22 Nov 2022","2022","","","1","5","Virtual education has become very important during the last few years, many people have decided to use this modality to acquire new knowledge. The pandemic drove the growth of the use of online services and the increase of their impact and in this case learning management platforms (LMS) were no exception. Due to the amount of information that these learning systems handle, it is necessary to keep the data secure when using these tools, for this, it is of great importance to prioritize the security, privacy and integrity of these. It has been evidenced that some LMS systems neglect the possibility of using security schemes that are robust enough to mitigate and prevent attacks within the platform, as a result of this, the risk that computer attackers can gain unauthorized access and extract information is generated, causing impacts at the level of processes that can affect organizations and users that use these services and Moodle is one of the most used LMS platforms worldwide, so its security represents a critical factor in this sector. Taking into account the above, this project focuses on Moodle in order to help mitigate and prevent computer threats through the implementation of a multi-layered security model, which is based on a risk analysis based on the MAGERIT methodology, the implementation of security countermeasures at the layer level, and finally, the validation of this scheme through ethical hacking techniques.","2539-4320","978-1-6654-6525-0","10.1109/CONIITI57704.2022.9953679","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9953679","LMS;vulnerabilities;threats;computer security;ethical hacking;risk analysis;MAGERIT;Moodle","Learning systems;Analytical models;Ethics;Pandemics;Force;Education;Organizations","","","","4","IEEE","22 Nov 2022","","","IEEE","IEEE Conferences"
"Evolving Journey of Chatbots: Insights into Business Decisions","K. Chhabria; M. Damle","Symbiosis Institute of Digital and Telecom Management, a constituent of Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Digital and Telecom Management, a constituent of Symbiosis International (Deemed University), Pune, India",2022 International Interdisciplinary Humanitarian Conference for Sustainability (IIHC),"17 Mar 2023","2022","","","102","107","Rapid digitization and the emergence of the internet and mobile devices have altered how individuals communicate with businesses. Chatbots are specially designed and developed computer programs that interact with humans by simulating a conversation. Chatbots engage with humans using a variety of frameworks, ranging from a simple text interface to speech recognition capabilities. Conversational Agents are an evolved version of chatbots, where Natural Language Processing (N.L.P.) makes the interaction between the bot and humans much more realistic. This paper answers frequently asked questions about chatbots, bringing out the differences in mundane versus the complex tasks and business intelligence performance of chatbots, discussing the historical backdrop and background for chatbots and conversational agents, two types of dialogue systems. A timeline has been drawn to comprehend their advancement better. Next, a deep dive into how small and medium-sized businesses can reap the benefits of A.I. Chatbots by looking at various ways that chatbots can add value to businesses is carried out, along with linguistic differentiation and how it affects service and customer satisfaction. Finally, we analyse how companies in various industries use Chatbots for conversational marketing. The methodology followed starts with looking into the evolution of chatbots and the core decision-making changes with each step. Next, two types of chatbots have been defined based on technology and use and discover the complexity of these technologies. A deep dive into how businesses can reap the benefits of A.I., followed by the various ways that chatbots add value to businesses, is investigated, followed by reviewing the areas of applications in different industries. Lastly, analysis into how companies use chatbots for conversational marketing is done.","","978-1-6654-5687-6","10.1109/IIHC55949.2022.10060780","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10060780","Chatbot;Conversational Agent;Artificial Intelligence;Machine Learning;Natural Language Processing;Chat Script","Industries;Companies;Speech recognition;Oral communication;Linguistics;Chatbots;Mobile handsets","","1","","41","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Supporting the Process of Training Specialists in an Integrated Educational Environment","E. E. Kotova","Saint-Petersburg Electrotechnical University “LETI”, St. Petersburg, Russia",2018 Third International Conference on Human Factors in Complex Technical Systems and Environments (ERGO)s and Environments (ERGO),"23 Aug 2018","2018","","","140","145","In the conditions of growth of the digital economy there are changes in the educational process, caused by the introduction of electronic and distance learning technologies. The learning process takes place in an information-rich environment that requires flexible change management. The purpose of maintenance the process of training specialists in the university is to get more objective feedback for the management of the learning process and to organize the structure and content of training resources effectively for each student. It is necessary to take into account the individual differences, preferences, needs and goals of students, the dynamics of “growth” in the level of knowledge, classify students into groups based on personal characteristics of the cognitive sphere, find templates and apply measures for adapting and customizing the individual learning process. Technologies of intelligent (virtual) agents based on data mining methods allow to implement the approach of designing a personal educational environment controlled by data.","","978-1-5386-5612-9","10.1109/ERGO.2018.8443821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8443821","training of specialists;educational environment;digital competencies;intellectual agents;individual learning process;data analysis methods","Training;Unified modeling language;Task analysis;Data mining;Data analysis;Analytical models","","","","25","IEEE","23 Aug 2018","","","IEEE","IEEE Conferences"
"SLA as a mechanism to manage risks related to chatbot services","K. Gondaliya; S. Butakov; P. Zavarsky","Information Systems Security Management, Concordia University of Edmonton, Edmonton AB, Canada; Information Systems Security And Assurance Management, Concordia University of Edmonton, Edmonton AB, Canada; Information Systems Security And Assurance Management, Concordia University of Edmonton, Edmonton AB, Canada","2020 IEEE 6th Intl Conference on Big Data Security on Cloud (BigDataSecurity), IEEE Intl Conference on High Performance and Smart Computing, (HPSC) and IEEE Intl Conference on Intelligent Data and Security (IDS)","23 Jun 2020","2020","","","235","240","Intelligent Chatbot services become one of the mainstream applications in user help and many other areas. Apart from bringing numerous benefits to users these services may bring additional risks to the companies that employ them. The study starts with the review of the scale of chatbot industry and common use cases by focusing on their applications & industry tendencies. Review of functionality and architecture of typical chatbot services shows the potential risks associated with chatbots. Analysis of such risks in the paper helped to build a checklist that security managers can use to assess risks prior to chatbot implementation. The proposed checklist was tested by reviewing a number of Service Level Agreements (SLA) of real chatbot providers.","","978-1-7281-6873-9","10.1109/BigDataSecurity-HPSC-IDS49724.2020.00050","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9123051","Chatbot;SLA;Privacy;Information Security;Risk;Framework;Artificial Intelligence.","Industries;Conferences;Focusing;Pricing;Chatbots;Denial-of-service attack;Control systems","","10","","35","IEEE","23 Jun 2020","","","IEEE","IEEE Conferences"
"Challenges in teaching logic programming","V. Sekovanić; S. Lovrenčić","Faculty of Organization and Informatics, Varaždin, Croatia; Faculty of Organization and Informatics, Varaždin, Croatia","2022 45th Jubilee International Convention on Information, Communication and Electronic Technology (MIPRO)","27 Jun 2022","2022","","","594","598","Learning Prolog is a challenge on many levels. In relation to other programming languages, it carries additional weight in understanding due to its declarative nature, which is significantly different in relation to procedural languages. Prolog is an extremely important programming language because it is the foundation of artificial intelligence, knowledge-based systems, and other modern systems. The question arises of how to motivate students in the best possible way and make it easier for them to understand Prolog. The literature points to problems in learning the language, but also to possible approaches to quality teaching. This paper describes five-year research on the quality of teaching based on the feedback from students at the end of the semester. The research is an analysis of contact teaching and online teaching in the last part. The results of the research show observed problems in understanding the SWI-Prolog, but also the efforts of teachers to try to alleviate the perceived problems of students in the best possible way. In this way, efforts were made to raise the quality of teaching from year to year, thus making it easier for students to understand and adopt the material related to the basics of the SWI-Prolog.","2623-8764","978-953-233-103-5","10.23919/MIPRO55190.2022.9803530","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9803530","logic programming;SWI-Prolog;teaching programming","Computer languages;Logic programming;Distance learning;Education;Knowledge based systems;Monitoring;Faces","","","","30","","27 Jun 2022","","","IEEE","IEEE Conferences"
