"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Using artificial intelligence based expert system for selection of design subcontractors: A case study in aerospace industry","V. Ö. Ünal; A. Berkol; E. O. Tartan","Independent Monitoring Department, Turkish Aerospace Industries Inc.(TAI), Ankara, Turkey; Institute of Science and Engineering, Baskent University, Ankara, Turkey; Vocational School of Technical Sciences, Baskent University, Ankara, Turkey",2017 8th International Conference on Mechanical and Aerospace Engineering (ICMAE),"18 Sep 2017","2017","","","433","437","As one of the top expectations for type certification of an aircraft, Aviation Authorities (AA) regulate design organization to establish Design Assurance System (DAS). DAS is composed of design, independent monitoring and airworthiness functions in which these functions are specialized for aerospace industry. Besides, Design Organization Approval (DOA) is a milestone to establish a rigid Design Assurance System. By this way, design organization assures aircraft development life cycle by complying with aviation regulations. To meet requirements of Design Organization Approval, Design Organization transfers its authority and technical signatories to its subcontractors to improve effectiveness of the system. So, performance of design subcontractors shall be traceable and measurable to match capability requirements of main contractor. Thus, subcontractor evaluation is a long and complicated process; survey implementation could be misleading in some cases. The purpose of this study is to propose a novel tool to measure performance of a design subcontractor according to necessities of Design Assurance System. Up to now, there is no tool to evaluate aviation design subcontractors. With this tool, contractor firm can evaluate multiple criteria in a single run. AHP is used to prioritize criteria relative to each other one-by-one. Then, for subcontractor selection and subcontractor monitoring, Artificial Neural Network (ANN) is applied to optimize decision making process. Annual Actual Data is applied in AHP model to assess current performance score of subcontractor. To have a long term judgment of this system, the model shall be applied to a design subcontractor for more than once on fixed periods such as quarterly, yearly etc.","","978-1-5386-3306-9","10.1109/ICMAE.2017.8038685","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8038685","Artificial Neural Network (ANN);Expert Systems;Aviation Authority(AA);Design Assurance System(DAS);Design Organization Approval(DOA);Design Subcontractor","Artificial neural networks;Real-time systems;Organizations;Aircraft;Aerospace industry;Analytic hierarchy process;Personnel","","","","6","IEEE","18 Sep 2017","","","IEEE","IEEE Conferences"
"Automated Writing Evaluation System: Tapping its Potential for Learner Engagement","Z. Zhang; Y. Zhang","The University of Hong Kong, Hong Kong; Beijing Cikuu Science and Technology Co., Ltd, Beijing, China",IEEE Engineering Management Review,"9 Oct 2018","2018","46","3","29","33","In the era of Industry 4.0 featuring sophisticated technologies such as big data analytics, cloud computing, and machine learning, education has been pressured to keep pace with technological innovation. Teaching and learning in today's knowledge based society has seen enormous transformation with the emergence of artificial intelligence (Al). In the field of language education, particularly second language acquisition, how to facilitate teaching and learning of a second language (L2) with cutting edging Al technologies has drawn increasing attention from both researchers and practitioners.","1937-4178","","10.1109/EMR.2018.2866150","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8486806","Automated writing evaluation;feedback;learner engagement","Writing;Education;Linguistics;Artificial intelligence;Task analysis;Vocabulary;Technological innovation","","11","","10","IEEE","9 Oct 2018","","","IEEE","IEEE Journals"
"Construction of performance management system based on balanced scorecard for exhibition company","Huiping Guo; Ping Xu; Ran Liu","School of Tourism&Hospitality Management, Shenyang Normal University, Shenyang, China; Vocational and Technical College, Shenyang Normal University, Shenyang, China; College of Economic Management, Dalian University, Dalian, China","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)","5 Sep 2011","2011","","","6576","6579","As a tool of implementing company's strategies, balanced scorecard has been universally accepted, becoming the most widely adopted performance management framework. For the numerous exhibition companies in the market, which are young and usually small, how to sustain sound development in the post-financial crisis environment is a problem pressing for solution. So it is important for exhibition company to adjust and improve its performance appraisal system when it seeks to expand. This paper focuses on the construction of balanced scorecard according to the business process of exhibition company from four perspectives, namely finance, customers, internal business processes and learning and growth. Exhibition company which tries to improve its performance management and brand awareness can use the paper for reference.","","978-1-4577-0536-6","10.1109/AIMSEC.2011.6011315","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6011315","post-financial crisis;exhibition company;performance management;balanced scorecard","Companies;Indexes;Economics;Appraisal;Customer satisfaction;Transportation","","","","5","IEEE","5 Sep 2011","","","IEEE","IEEE Conferences"
"Facilitating Group Learner Participation using Intelligent Agents in Collaborative M-Learning","S. Njenga; R. Oboko; E. Omwenga; E. Maina","Murang’a University of Technology, P.O Box 75, Murang’a, Kenya; University of Nairobi, P.O Box 30197, Nairobi, Kenya; University of Nairobi, P.O Box 30197, Nairobi, Kenya; Kenyatta University, P.O Box 43844, Nairobi, Kenya",2018 IST-Africa Week Conference (IST-Africa),"23 Jul 2018","2018","","","Page 1 of 8","Page 8 of 8","Most Leaning Management Systems provide a facility for online group discussions. Grouping members together does not give a surety of their participation in those online discussions. However, intelligent agents can facilitate group participation to motivate members to participate effectively in group discussions leading to enhanced levels of group knowledge construction. This paper discusses an experimental design for evaluating agent-based facilitated group learner participation for online group discussions in mobile learning environments. The experiment uses two treatment groups and one control group. We compared the levels of group knowledge construction amongst the three groups. The findings showed improved levels of group knowledge construction in the treatment groups compared to the control group. Thus, we recommend the use of intelligent agents in facilitating group participation and subsequently improving the group knowledge construction in collaborative m-learning.","2576-8581","978-1-905824-60-1","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8417346","Group Participation;Group Knowledge Construction;Intelligent Agents;M-Learning","Intelligent agents;Collaboration;Collaborative work;Interviews;Electronic mail;Mobile handsets;Learning management systems","","","","35","","23 Jul 2018","","","IEEE","IEEE Conferences"
"Nash Tracking Controls of Multi-input Nonzero-Sum Game System with Reinforcement Learning","Y. o. Lv; X. Ren; L. Li; J. Na","School of Automation, Beijing Institute of Technology, Beijing, China; School of Automation, Beijing Institute of Technology, Beijing, China; School of Automation, Beijing Institute of Technology, Beijing, China; Faculty of Mechanical & Electrical Engineering, Kunming University of Science & Technology, Kunming, China",2018 37th Chinese Control Conference (CCC),"7 Oct 2018","2018","","","2765","2769","This paper addresses Nash optimal tracking controls of the unknown multi-player game system with a reinforcement learning scheme. We propose a single-layer neural network to approximate the unknown multi-player system, where the system can be accurately identified. It is then used to calculate the Nash tracking controls, which are designed by two parts: the steady-state control and the optimal feedback tracking control. The optimal feedback tracking controls are obtained by using the HJB equation with the reinforcement learning scheme. The convergences of the NN weights and the approximated optimal controls are analyzed. Finally, a simulation is provided to illustrate the effectiveness of the methods in this paper.","1934-1768","978-988-15639-5-8","10.23919/ChiCC.2018.8483384","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8483384","Reinforcement learning;nonzero-sum game;neural networks;Nash equilibrium;multi-input system","Artificial neural networks;Games;Learning (artificial intelligence);Mathematical model;Nash equilibrium;Convergence","","","","23","","7 Oct 2018","","","IEEE","IEEE Conferences"
"Context-aware multi-modal traffic management in ITS: A Q-learning based algorithm","A. M. Said; A. Soua; E. Abd-Elrahman; H. Afifi","National Telecommunication Institute-NTI, Egypt; National Institute of Standards and Technology-NIST, USA; National Telecommunication Institute-NTI, Egypt; TélécomSudParis, Institut Mines-Télécom IMT, France",2015 International Wireless Communications and Mobile Computing Conference (IWCMC),"5 Oct 2015","2015","","","674","679","Multi-modal traffic management in Intelligent Transportation Systems (ITS) aims to provide a more efficient traffic regulation to passengers and reduce congestion and obstruction in the roads. In spite of the outstanding progress made in this research filed; traffic management still a very challenging problem regarding the multiple factors that have to be taken into account in any proposed solution. To tackle this problem, this paper introduces a collaborative model based context awareness multi-modal traffic management aiming at providing an efficient way to manage the traffic inside a transportation station. In this model (Multi-Layers Stations: the stations that have different intersections for different means of transport), the traffic management is based on a Q-learning technique that takes into account the context awareness parameters to provide more potent decisions. The learning technique offers the opportunity to the system (transportation station) to adapt dynamically its decision (choice of the best transportation mean) based on feedbacks provided by the passengers traveling from that specified station and thus optimize their journey through the transportation network. The efficacy of our proposed technique is validated through extensive simulations for different layers of transport means like metros, trains, and buses. Our proposal holds for any ITS system decisions provided the availability of real-time traces about the passengers passing by any station.","2376-6506","978-1-4799-5344-8","10.1109/IWCMC.2015.7289164","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7289164","ITS;Multi-modal Traffic;context awareness;Q-Learning","Delays;Vehicles;Roads;Context-aware services;Learning (artificial intelligence);Proposals","","4","","17","IEEE","5 Oct 2015","","","IEEE","IEEE Conferences"
"Applying the balanced score card in the team strategic performance management","Wang Ting","School of Economics & Management, Henan Polytechnic University, Jiaozuo, China","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)","5 Sep 2011","2011","","","990","993","The traditional performance management which uses measure methods by financial indicators can only reflect the past situation not to judge the future development of the team and its profit ability. In the new circumstances, how to establish strategic performance management system and guide organization and personnel's behavior toward the strategic goal to avoid becoming obsolete in the future competition is placed an arduous task in front of the team managers. This article discusses the balanced score card' three aspects: dimension analysis, implementation, system support in the team strategic performance management application by model of grey analytic evaluation, with the purpose of enhancing the team to improve performance management which has an important realistic and profound significance.","","978-1-4577-0536-6","10.1109/AIMSEC.2011.6010534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6010534","balanced score card;team strategic performance management;dimension analysis;grey analytic evaluation","Indexes;Organizations;Software;Marketing and sales;Appraisal;Production","","3","","7","IEEE","5 Sep 2011","","","IEEE","IEEE Conferences"
"Based on the Agent model to study the intelligent teaching system","LiLiLi","Mathematics and Computer department, Shang Xi normal university Linfen College, China","2011 2nd International Conference on Artificial Intelligence, Management Science and Electronic Commerce (AIMSEC)","5 Sep 2011","2011","","","2843","2846","The traditional education system based on Web, in the remote education course lack certain intelligent and adaptability, unable to realize students' learning and teachers' teaching students according to their aptitude as needed, and Agent technology development to solve the above problem provides new ideas and methods. This paper researches the Agent technology used in the design of in a certain extent.","","978-1-4577-0536-6","10.1109/AIMSEC.2011.6011003","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6011003","Agent;intelligent teaching system;Agent technology","Education;Artificial intelligence;Internet;Servers;Software;Instruments;Information services","","","","9","IEEE","5 Sep 2011","","","IEEE","IEEE Conferences"
"Dialog State Tracking and action selection using deep learning mechanism for interview coaching","M. -H. Su; K. -Y. Huang; T. -H. Yang; K. -J. Lai; C. -H. Wu","Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Computer Science and Information Engineering, National Cheng Kung University, Tainan, Taiwan",2016 International Conference on Asian Language Processing (IALP),"13 Mar 2017","2016","","","6","9","The best way to prepare for an interview is to review the different types of possible interview questions you will be asked during an interview and practice responding to questions. An interview coaching system tries to simulate an interviewer to provide mock interview practice simulation sessions for the users. The traditional interview coaching systems provide some feedbacks, including facial preference, head nodding, response time, speaking rate, and volume, to let users know their own performance in the mock interview. But most of these systems are trained with insufficient dialog data and provide the pre-designed interview questions. In this study, we propose an approach to dialog state tracking and action selection based on deep learning methods. First, the interview corpus in this study is collected from 12 participants, and is annotated with dialog states and actions. Next, a long-short term memory and an artificial neural network are employed to predict dialog states and the Deep RL is adopted to learn the relation between dialog states and actions. Finally, the selected action is used to generate the interview question for interview practice. To evaluate the proposed method in action selection, an interview coaching system is constructed. Experimental results show the effectiveness of the proposed method for dialog state tracking and action selection.","","978-1-5090-0922-0","10.1109/IALP.2016.7875922","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7875922","interview coaching system;deep reinforcement learning;LSTM","Interviews;Training;Semantics;Neural networks;Learning (artificial intelligence);Data visualization;Predictive models","","3","","22","IEEE","13 Mar 2017","","","IEEE","IEEE Conferences"
"Reward shaping for reinforcement learning by emotion expressions","K. S. Hwang; J. L. Ling; Y. -Y. Chen; W. -H. Wang","Department of Electrical Engineering, National Sun Yatsen University, Kaoshiung, Taiwan; Department of Information Management, Shih Hsin University, Taipei, Taiwan; Department of Electrical Engineering, National Chung Cheng University, Chiayi, Taiwan; Precision Machinery Research & Development Center, Taiwan","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","4 Dec 2014","2014","","","1288","1293","In this paper, a non-expert learning system was proposed to guide the robots learn their behaviors by humans' emotional expressions. The proposed system used interval fuzzy type-2 algorithm to recognize the human's facial expressions, which were captured by a web camera. Furthermore, emotion value (E-value), generated based on non-expert human's facial expressions, was applied to the reinforcement learning to train robots. Two kinds of problems were experimented. One was the human being know the exact solution to train robots and could clearly observe good or bad choice robots had been made. The other one was human being did not know the exact solution but robots could still learn from human's experience. The experiment results show that no matter the learning environment could be clearly observed by human being or not, robots could learn from human's facial expressions by the proposed learning system.","1062-922X","978-1-4799-3840-7","10.1109/SMC.2014.6974092","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974092","emotion expression;fuzzy theory;intelligent robots;reinforcement learning","Robots;Learning (artificial intelligence);Mouth;Face recognition;Erbium;Learning systems;Shape","","2","","14","IEEE","4 Dec 2014","","","IEEE","IEEE Conferences"
